runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
2488,9.0,45.0,True,69.6745,True,0.4802,0.98,000110011001100110000
2490,8.1094,37.2491,True,52.3451,True,5.9463,0.89,000110011001100110000
2491,8.0985,41.2308,True,58.0019,True,2.3038,1.0,000110011001100110000
2494,8.0,44.3006,True,69.5585,True,4.714,1.0,000110011001100110000
2496,8.0132,38.531,True,87.6985,True,3.4363,0.92,000110011001100110000
2497,8.5952,35.0,True,69.2551,True,0.6074,0.98,000110011001100110000
2498,8.4677,45.0,True,84.8954,True,5.0446,1.0,000110011001100110000
2499,8.8899,38.1111,True,85.8478,True,1.6464,1.0,000110011001100110000
2500,8.3298,40.8077,True,84.2796,True,0.6882,0.98,000110011001100110000
2502,8.9441,42.4251,True,77.5454,True,1.215,1.0,000110011001100110000
2507,8.806,43.5748,True,49.309,True,0.3346,0.97,000110011001100110000
2508,8.0388,45.0,True,57.1811,True,0.5767,1.0,000110011001100110000
2510,8.0,41.2219,True,55.5169,True,3.8416,1.0,000110011001100110000
2512,8.7228,45.0,True,70.2306,True,2.1661,1.0,000110011001100110000
2514,8.7184,35.0,True,80.4715,True,0.9164,0.98,000110011001100110000
2517,8.0,42.4689,True,87.2498,True,4.3901,0.87,000110011001100110000
2518,8.18,42.1307,True,72.3009,True,5.8183,0.98,000110011001100110000
2520,8.1827,39.0653,True,77.6272,True,4.5963,1.0,000110011001100110000
2525,8.1812,43.581,True,78.0234,True,2.0274,1.0,000110011001100110000
2526,8.2614,36.5427,True,63.384,True,1.6922,1.0,000110011001100110000
2528,8.0225,41.1099,True,87.4481,True,4.8567,1.0,000110011001100110000
2530,8.189,37.5493,True,75.0258,True,3.3917,1.0,000110011001100110000
2531,8.5788,36.4788,True,57.9439,True,2.7809,1.0,000110011001100110000
2536,8.41,44.7925,True,67.5301,True,5.0696,1.0,000110011001100110000
2537,8.9938,41.0973,True,66.0885,True,0.1313,0.98,000110011001100110000
2538,9.0,45.0,True,89.2424,True,3.5383,0.99,000110011001100110000
2539,8.456,42.4324,True,90.6652,True,2.6092,0.94,000110011001100110000
2540,8.6258,40.7002,True,50.6971,True,1.8419,0.99,000110011001100110000
2546,8.1349,39.8079,True,55.9528,True,5.0613,1.0,000110011001100110000
2548,8.744,42.6344,True,72.9203,True,3.7401,1.0,000110011001100110000
2549,8.7493,42.9885,True,50.4013,True,5.73,0.98,000110011001100110000
2554,8.2424,41.943,True,75.2209,True,0.2961,0.99,000110011001100110000
2555,8.5564,44.5672,True,95.7031,True,2.0929,0.94,000110011001100110000
2556,8.8062,37.5971,True,98.7178,True,1.3689,0.92,000110011001100110000
2557,8.2751,44.6152,True,45.8543,True,0.0776,0.92,000110011001100110000
2561,8.8215,45.0,True,92.7153,True,1.2023,0.91,000110011001100110000
2563,8.2281,37.3157,True,73.9858,True,0.9835,1.0,000110011001100110000
2564,8.9896,44.1514,True,63.7599,True,0.8461,1.0,000110011001100110000
2567,8.9618,43.452,True,50.3906,True,4.4863,0.91,000110011001100110000
2576,8.8175,41.9903,True,76.0441,True,5.2002,0.98,000110011001100110000
2577,8.7741,38.6376,True,93.2926,True,3.4352,0.94,000110011001100110000
2578,8.7503,38.1185,True,71.622,True,3.0133,1.0,000110011001100110000
2579,9.0,40.3898,True,80.1997,True,2.2231,1.0,000110011001100110000
2581,8.8625,41.8283,True,61.9675,True,1.6243,1.0,000110011001100110000
2582,9.0,44.5898,True,79.8581,True,2.9283,1.0,000110011001100110000
2583,8.6862,42.403,True,84.9425,True,4.8696,1.0,000110011001100110000
2584,8.6876,35.0,True,63.64,True,3.2153,1.0,000110011001100110000
2585,8.0289,44.0437,True,66.7471,True,5.7923,0.99,000110011001100110000
2588,8.6947,45.0,True,45.1858,True,1.9183,0.93,000110011001100110000
2589,8.377,44.8989,True,64.4557,True,4.3179,1.0,000110011001100110000
2593,8.3468,36.1012,True,70.0229,True,2.591,1.0,000110011001100110000
2595,8.9051,45.0,True,96.8087,True,3.3079,0.91,000110011001100110000
2599,8.1764,39.7951,True,81.3775,True,4.5604,1.0,000110011001100110000
2601,8.6889,45.0,True,85.6282,True,1.9694,1.0,000110011001100110000
2602,8.0,44.7615,True,50.6081,True,2.5694,0.86,000110011001100110000
