runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
4312,6.8904,40.6465,True,65.4585,True,1.068,1.0,000110011001100110000
4313,7.0472,36.5962,True,48.2927,True,5.9584,0.98,000110011001100110000
4315,7.1529,40.8659,True,48.8584,True,4.6062,1.0,000110011001100110000
4316,6.6313,35.0,True,56.7049,True,3.6508,1.0,000110011001100110000
4317,7.3311,44.3525,True,70.8696,True,1.9014,1.0,000110011001100110000
4321,6.6534,36.4495,True,54.3403,True,2.2431,1.0,000110011001100110000
4322,7.5,39.8118,True,46.9516,True,3.5434,1.0,000110011001100110000
4324,6.6781,45.0,True,67.7648,True,2.2795,0.99,000110011001100110000
4325,7.3276,42.2738,True,70.8456,True,4.6834,0.96,000110011001100110000
4328,7.5,35.8841,True,32.6466,True,0.649,1.0,000110011001100110000
4330,7.5,37.4705,True,39.1004,True,5.8031,0.98,000110011001100110000
4333,7.4854,35.0,True,51.5677,True,4.5613,1.0,000110011001100110000
4334,7.3229,38.4105,True,64.7023,True,3.8082,1.0,000110011001100110000
4339,7.311,41.9777,True,2.2258,True,3.335,0.93,000110011001100110000
4344,6.884,35.9038,True,64.4797,True,1.2349,1.0,000110011001100110000
4345,7.1169,44.3251,True,71.559,True,0.3126,0.98,000110011001100110000
4346,7.2954,35.7337,True,47.2907,True,0.8554,1.0,000110011001100110000
4348,7.4526,41.0229,True,57.714,True,1.3587,1.0,000110011001100110000
4349,7.3393,35.0,True,71.7709,True,0.6086,0.99,000110011001100110000
4350,7.0899,35.545,True,40.1,True,0.456,0.98,000110011001100110000
4351,6.6743,35.9403,True,64.36,True,0.7528,0.94,000110011001100110000
4353,7.4744,41.4537,True,57.0918,True,1.7847,1.0,000110011001100110000
4355,7.485,43.1856,True,12.234,True,4.8495,1.0,000110011001100110000
4357,7.1192,39.1069,True,66.4747,True,4.4277,0.86,000110011001100110000
4361,6.7506,40.2249,True,51.6376,True,1.0146,1.0,000110011001100110000
4363,7.1932,37.8814,True,27.3559,True,4.2094,0.87,000110011001100110000
4364,7.2598,40.8966,True,72.3714,True,1.3038,1.0,000110011001100110000
4366,7.5,37.8069,True,25.1564,True,4.7425,1.0,000110011001100110000
4368,6.6861,41.7409,True,52.4491,True,1.4716,1.0,000110011001100110000
4370,7.1166,35.5813,True,35.2029,True,2.9743,0.89,000110011001100110000
4372,7.2311,43.6643,True,39.1538,True,1.8884,1.0,000110011001100110000
4373,7.4556,35.0,True,5.3994,True,1.9652,1.0,000110011001100110000
4376,7.1104,39.6561,True,52.1043,True,4.029,1.0,000110011001100110000
4377,7.0033,40.8381,True,32.4259,True,0.767,0.98,000110011001100110000
4378,7.1745,40.7669,True,29.8466,True,3.6738,0.87,000110011001100110000
4380,7.5,42.5599,True,58.894,True,0.9287,0.98,000110011001100110000
4381,6.7439,36.3969,True,56.4782,True,2.6891,1.0,000110011001100110000
4383,7.5,37.1882,True,44.4736,True,4.9046,1.0,000110011001100110000
4384,7.4166,45.0,True,47.3288,True,1.286,1.0,000110011001100110000
4386,7.1018,38.6496,True,65.8664,True,1.5403,1.0,000110011001100110000
4388,7.5,37.0751,True,18.0879,True,5.4641,0.98,000110011001100110000
4390,6.5039,39.1156,True,53.833,True,1.6613,1.0,000110011001100110000
4392,7.4327,45.0,True,69.8716,True,2.7529,1.0,000110011001100110000
4394,7.2771,45.0,True,63.5345,True,4.7962,1.0,000110011001100110000
4395,6.9666,43.9343,True,50.7936,True,5.4285,1.0,000110011001100110000
4396,7.3456,45.0,True,57.8921,True,0.782,1.0,000110011001100110000
4398,7.5,40.4053,True,10.6836,True,5.3636,0.98,000110011001100110000
4399,7.5,39.5115,True,25.8478,True,5.4382,0.98,000110011001100110000
4403,7.5,45.0,True,43.3327,True,1.3915,1.0,000110011001100110000
4408,7.5,37.8149,True,13.873,True,5.1512,1.0,000110011001100110000
4409,7.0393,43.8153,True,32.2036,True,1.4514,0.99,000110011001100110000
4413,7.0511,44.058,True,67.046,True,1.4766,0.98,000110011001100110000
4415,7.5,40.6832,True,54.49,True,1.5317,1.0,000110011001100110000
4416,7.4051,36.0459,True,52.1966,True,4.4984,1.0,000110011001100110000
4418,6.8387,43.1773,True,66.044,True,2.3201,1.0,000110011001100110000
4422,6.5,41.4639,True,57.6552,True,0.6368,0.98,000110011001100110000
4423,6.5088,41.2506,True,59.5778,True,3.8963,1.0,000110011001100110000
4424,7.408,44.3863,True,34.851,True,1.1721,0.96,000110011001100110000
4427,6.9063,45.0,True,38.1487,True,3.726,1.0,000110011001100110000
4428,7.282,37.8112,True,64.0685,True,4.6501,1.0,000110011001100110000
4433,6.682,42.3662,True,49.8334,True,0.6771,1.0,000110011001100110000
4434,7.5,37.0416,True,58.6659,True,3.425,1.0,000110011001100110000
4435,6.9435,42.7314,True,38.2202,True,3.4063,1.0,000110011001100110000
4437,7.1589,37.6027,True,50.4599,True,1.6891,1.0,000110011001100110000
4438,7.4139,41.3353,True,69.3895,True,3.1825,1.0,000110011001100110000
4439,7.1758,39.972,True,48.1108,True,4.0806,1.0,000110011001100110000
4440,7.2557,40.4383,True,59.3407,True,1.8497,1.0,000110011001100110000
4443,6.6086,45.0,True,35.2534,True,1.8332,1.0,000110011001100110000
4444,7.5,41.2559,True,6.9354,True,3.168,0.93,000110011001100110000
4445,6.8462,42.8506,True,45.3649,True,2.3016,1.0,000110011001100110000
4448,7.3574,40.4272,True,84.9014,True,2.8881,0.93,000110011001100110000
4449,6.5643,40.7699,True,62.2447,True,3.0893,0.96,000110011001100110000
4451,6.6545,36.9486,True,62.8396,True,5.7126,0.95,000110011001100110000
4453,7.5,42.0605,True,61.3234,True,2.0861,1.0,000110011001100110000
4454,7.1507,45.0,True,28.43,True,2.0931,0.81,000110011001100110000
4455,7.0847,43.3499,True,69.6202,True,5.7655,0.91,000110011001100110000
4457,7.3378,45.0,True,49.5031,True,3.1673,1.0,000110011001100110000
4458,6.5512,38.899,True,39.461,True,4.0011,1.0,000110011001100110000
4459,7.5,35.7467,True,38.6606,True,3.9667,1.0,000110011001100110000
4460,7.5,41.4295,True,76.0138,True,3.9272,0.93,000110011001100110000
4461,7.3978,43.1135,True,65.3118,True,2.6654,1.0,000110011001100110000
4463,7.4587,44.0504,True,69.7954,True,3.783,0.97,000110011001100110000
4464,7.2728,36.5199,True,55.6007,True,5.0543,0.98,000110011001100110000
4465,6.5,41.476,True,43.7872,True,1.0412,1.0,000110011001100110000
4467,7.1712,35.0,True,70.8481,True,1.071,1.0,000110011001100110000
4469,7.0016,41.8645,True,65.908,True,4.8371,0.84,000110011001100110000
4470,7.5,36.2408,True,76.9901,True,3.1751,0.99,000110011001100110000
4471,7.3506,40.6625,True,24.9008,True,3.4629,1.0,000110011001100110000
4472,6.5531,43.1693,True,42.6413,True,0.4469,0.98,000110011001100110000
4473,7.1686,44.1511,True,50.9855,True,0.538,0.99,000110011001100110000
4474,7.1537,44.8528,True,54.8991,True,1.0397,1.0,000110011001100110000
4476,7.339,43.2731,True,46.26,True,4.7015,1.0,000110011001100110000
4477,7.1883,39.7333,True,69.7656,True,2.3984,1.0,000110011001100110000
4480,6.5,42.2712,True,61.5744,True,3.5823,1.0,000110011001100110000
